,date,total_load,delta,factors
9857,2016-02-03 06:30:00+00:00,33661.715000000004,6.75,0.534865293185309
9858,2016-02-03 06:45:00+00:00,33665.965000000004,4.25,0.3367670364500093
9859,2016-02-03 07:00:00+00:00,33670.215000000004,4.25,0.3367670364500093
9860,2016-02-03 07:15:00+00:00,33675.965000000004,5.75,0.4556259904911891
9861,2016-02-03 07:30:00+00:00,33683.475,7.509999999994761,0.5950871632324249
9862,2016-02-03 07:45:00+00:00,33689.740000000005,6.265000000006694,0.49643423137919124
9863,2016-02-03 08:00:00+00:00,33695.275,5.5349999999962165,0.43858954041165354
9864,2016-02-03 08:15:00+00:00,33701.560000000005,6.2850000000034925,0.49801901743281995
9865,2016-02-03 08:30:00+00:00,33707.83,6.269999999996799,0.49683042789187776
9866,2016-02-03 08:45:00+00:00,33713.38,5.549999999995634,0.4397781299520192
9867,2016-02-03 09:00:00+00:00,33719.99,6.610000000000582,0.5237717908081783
9868,2016-02-03 09:15:00+00:00,33725.909999999996,5.919999999998254,0.46909667194905114
9869,2016-02-03 09:30:00+00:00,33732.53,6.620000000002619,0.5245641838352809
9870,2016-02-03 09:45:00+00:00,33740.270000000004,7.740000000005239,0.6133122028529027
9871,2016-02-03 10:00:00+00:00,33748.450000000004,8.180000000000291,0.6481774960379234
9872,2016-02-03 10:15:00+00:00,33755.634999999995,7.184999999990396,0.5693343898564901
9873,2016-02-03 10:30:00+00:00,33766.17,10.535000000003492,0.8347860538828293
9874,2016-02-03 10:45:00+00:00,33778.79,12.62000000000262,1.0
9875,2016-02-03 11:00:00+00:00,33788.445,9.654999999998836,0.7650554675116349
9876,2016-02-03 11:15:00+00:00,33797.78,9.334999999999127,0.7396988906495395
9877,2016-02-03 11:30:00+00:00,33807.13,9.349999999998545,0.7408874801899052
9878,2016-02-03 11:45:00+00:00,33816.39,9.260000000002037,0.7337559429477112
9879,2016-02-03 12:00:00+00:00,33824.375,7.985000000000582,0.6327258320125931
9880,2016-02-03 12:15:00+00:00,33834.595,10.220000000001164,0.809825673533997
9881,2016-02-03 12:30:00+00:00,33841.53,6.934999999997672,0.5495245641835367
9882,2016-02-03 12:45:00+00:00,33848.65,7.120000000002619,0.5641838351823408
9883,2016-02-03 13:00:00+00:00,33855.68,7.029999999998836,0.5570522979395702
9884,2016-02-03 13:15:00+00:00,33863.695,8.014999999999418,0.6351030110933245
9885,2016-02-03 13:30:00+00:00,33872.705,9.010000000002037,0.7139461172741812
9886,2016-02-03 13:45:00+00:00,33879.965000000004,7.260000000002037,0.5752773375594715
9887,2016-02-03 14:00:00+00:00,33886.725,6.759999999994761,0.5356576862118351
9888,2016-02-03 14:15:00+00:00,33893.225,6.5,0.515055467511779
9889,2016-02-03 14:30:00+00:00,33900.725,7.5,0.5942947702058988
9890,2016-02-03 14:45:00+00:00,33908.475,7.75,0.6141045958794288
9891,2016-02-03 15:00:00+00:00,33915.475,7.0,0.5546751188588389
9892,2016-02-03 15:15:00+00:00,33922.475,7.0,0.5546751188588389
9893,2016-02-03 15:30:00+00:00,33929.725,7.25,0.5744849445323689
9894,2016-02-03 15:45:00+00:00,33935.225,5.5,0.43581616481765917
9895,2016-02-03 16:00:00+00:00,33940.475,5.25,0.4160063391441292
9896,2016-02-03 16:15:00+00:00,33944.475,4.0,0.31695721077647937
9897,2016-02-03 16:30:00+00:00,33948.475,4.0,0.31695721077647937
9898,2016-02-03 16:45:00+00:00,33952.725,4.25,0.3367670364500093
9899,2016-02-03 17:00:00+00:00,33957.475,4.75,0.37638668779706924
9900,2016-02-03 17:15:00+00:00,33962.475,5.0,0.3961965134705992
9901,2016-02-03 17:30:00+00:00,33967.725,5.25,0.4160063391441292
9902,2016-02-03 17:45:00+00:00,33973.225,5.5,0.43581616481765917
9903,2016-02-03 18:00:00+00:00,33977.975,4.75,0.37638668779706924
9904,2016-02-03 18:15:00+00:00,33985.725,7.75,0.6141045958794288
9905,2016-02-03 18:30:00+00:00,33992.725,7.0,0.5546751188588389
9906,2016-02-03 18:45:00+00:00,33996.725,4.0,0.31695721077647937
9907,2016-02-03 19:00:00+00:00,34000.975,4.25,0.3367670364500093
9908,2016-02-03 19:15:00+00:00,34005.975,5.0,0.3961965134705992
9909,2016-02-03 19:30:00+00:00,34011.975,6.0,0.4754358161647191
9910,2016-02-03 19:45:00+00:00,34016.475,4.5,0.3565768621235393
9911,2016-02-03 20:00:00+00:00,34021.475,5.0,0.3961965134705992
9912,2016-02-03 20:15:00+00:00,34025.225,3.75,0.2971473851029494
9913,2016-02-03 20:30:00+00:00,34029.475,4.25,0.3367670364500093
9914,2016-02-03 20:45:00+00:00,34033.975,4.5,0.3565768621235393
9915,2016-02-03 21:00:00+00:00,34038.475,4.5,0.3565768621235393
9916,2016-02-03 21:15:00+00:00,34042.975,4.5,0.3565768621235393
9917,2016-02-03 21:30:00+00:00,34048.225,5.25,0.4160063391441292
9918,2016-02-03 21:45:00+00:00,34053.725,5.5,0.43581616481765917
9919,2016-02-03 22:00:00+00:00,34059.725,6.0,0.4754358161647191
9920,2016-02-03 22:15:00+00:00,34064.475,4.75,0.37638668779706924
9921,2016-02-03 22:30:00+00:00,34069.475,5.0,0.3961965134705992
9922,2016-02-03 22:45:00+00:00,34073.975,4.5,0.3565768621235393
9923,2016-02-03 23:00:00+00:00,34079.725,5.75,0.4556259904911891
9924,2016-02-03 23:15:00+00:00,34085.725,6.0,0.4754358161647191
9925,2016-02-03 23:30:00+00:00,34089.975,4.25,0.3367670364500093
9926,2016-02-03 23:45:00+00:00,34094.975,5.0,0.3961965134705992
